ADID	Name	Description	GLT_tag	GLT_Desc	Ent DR	EL Act	EL Obj	EL IO	EL Product	EL Process	Int 1 EL	Int 1 Type	Int 2 EL	Int 2 Type	CR1 Subj	CR1 Act	CR1 Obj	FR1 Subj	FR1 Act	FR1 Obj	FR1	WG1	WG1 Terminal Case	CR2	FR2	WG2	WG2 Terminal Case	Dept	Dept PL	Cust EL	Cust Product	Cust Type	Cust Temporal	CC EL	CC Product	CC Type	CC Relation	CC Relation Type	CC Temporal	CofC CR1	CofC FR1	CofC WG1	CofC CR2	CofC FR2	CofC WG2	CofC Terminal Case	CofC Dept	CofC El	CofC Product	CofC Type
3698	Cleanup of Land for Governments - PL	These companies clean land for the government.	1B2.B	Real Estate Broker services for Businesses		2.3.2	AdivA		AP	In-house											  	2.3.2 AdivA	Product					2.3.2 AdivA	Auxiliary	4.2.2 F	AP	Governments	First									4.2.2 AdivA					DivA	DivA	Div	Businesses, Consumers, and Governments
3699	Cleanup of Land for Businesses - PL	These companies clean land for businesses.	1B2.A	Real Estate Broker services for Consumers		2.3.2	AdivA		AP	In-house											  	2.3.2 AdivA	DivM					DivA	Main	DivA	Div	Businesses, Consumers, and Governments	First																	
3690	Waste Water Treatment for Governments - PL	These companies treat waste water for government institutions.	2B4	Equipment Maintenance or Repair		2.2.3	B1i		AP	In-house											  	2.2.3 B1i	Byproduct					2.2.3 B1i	Auxiliary	4.2.2 F	AP	Governments	First																	
3691	Flooring Installation for Businesses and Consumers - PL	These companies install flooring for consumers and diverse businesses.	2B4	Equipment Maintenance or Repair		2.2.3	B2ii		AP	In-house											  	2.2.3 B2ii	ItS	B2ii 1.3.2 DivA	A4ii 1.3.2 DivA	DivA	DivM	DivA	Main	DivA	Div	Businesses and Consumers	First																	
3692	Drilling Rig Remediation Services for Crude Oil Drillers - PL	These companies perform planned on-site cleaning of drilling rigs for crude oil extractors.	2B4	Equipment Maintenance or Repair		2.2.3	B4ii		AP	In-house											  	2.2.3 B4ii	Subject		B4ii 2.2.2 A2ii	2.2.2 E1ii	Product	2.2.2 E1ii	Main	2.2.2 E1ii	RP	Businesses	First							E1ii 1.3.2 E4ii	E4ii 2.2.2 B4ii	(B4ii) 1.2.2 F					(B4ii) 1.2.2 F	1.3.2 F	RP	Consumers
3693	Drilling Rig Remediation Services for Integrated Oil Drillers - PL	These companies perform planned on-site cleaning of drilling rigs for integrated oil drillers.	2B4	Equipment Maintenance or Repair		2.2.3	B4ii		AP	In-house											  	2.2.3 B4ii	Subject		B4ii 2.2.2 A2ii	2.2.2 E1ii	Product	2.2.2 E4ii	Main	2.2.2 E4ii	RP	Businesses	First								E4ii 2.2.2 B4ii	(B4ii) 1.2.2 F					(B4ii) 1.2.2 F	1.3.2 F	RP	Consumers
3694	Hospice Care; Government Insurance - BG	These companies operate hospices that offer end-of-life care for terminally ill patients paid for by government insurance. These companies provide hospice care, paid through government programs such as Medicaid and Medicare.	6A1	Personal Maintenance Services		2.2.3	F		AP	In-house	4.2.2 F	Payer									  	2.2.3 F	Product					2.2.3 F	Main	1.3.2 F	RP	Consumers	First																	
3695	Hospice Care; Private Insurance - PL	These companies operate hospices that offer end-of-life care for terminally ill patients paid for by private insurance.	6A1	Personal Maintenance Services		2.2.3	F		AP	In-house	3.3.2 D3ii	Payer									  	2.2.3 F	Product					2.2.3 F	Main	1.3.2 F	RP	Consumers	First																	
3696	Call Centers for Government Healthcare Marketplace - BG	These companies provide call center services for Government Healthcare marketplace. 	3B7	Quality control related services		2.3.1	Div4Div	(C3iii)	AP	In-house											  	2.3.1 Div4Div (C3iii)	Product					2.3.1 Div4Div (C3iii)	Auxiliary	4.2.2 F	AP	Governments	First									1.1.2 D3ii (C4ii) 	D3ii 1.1.2 DivA	DivA 2.3.2 F	2.3.2 F	Product	2.3.2 F	1.3.2 F	RP	Consumers
3697	Call Center for Colleges - BG	These companies operate call centers for colleges.	3B7	Quality control related services		2.3.1	DivA	(C3iii)	AP	In-house											  	2.3.1 DivA (C3iii)	Product					2.3.1 DivA (C3iii)	Main	2.1.2 F (C3iii)	AP	Businesses	First									2.1.2 F (C3iii)					2.1.2 F (C3iii)	1.3.2 F	RP	Consumers
3526	Thrusters for Satellites for Commercial Uses (OEM) - BG	These companies produce thrusters for satellites on contract basis with OEMs with commercial end uses.	2B3	Contract Equipment Manufacturing		2.2.2	B3ii		AP	In-house											  	2.2.2 B3ii	ItP (2)	B3ii 2.2.2 E4iii		2.2.2 B4ii	Product	2.2.2 B4ii	Main	2.2.2 B4ii	RP	Businesses	First								B4ii 1.2.3 CdivA	(B4ii) 1.2.2 CdivA					DivA	DivA	Div	Businesses
3527	Thrusters for Satellites (Government Customer) - BG	These companies produce thrusters for satellites on contract basis with governments.	2B3	Contract Equipment Manufacturing		2.2.2	B3ii		AP	In-house											  	2.2.2 B3ii	ItS	B3ii 2.2.2 E4iii	B4ii 1.2.3 CdivA	(B4ii) 1.2.2 CdivA	Subject	DivA	Auxiliary	4.2.2 F	AP	Governments	First																	
3524	Rocket Engines for Commercial End Uses (With OEM) - BG	These companies produce rocket engines on contract basis with OEMs with end uses in commercial spaceflight.	2B3	Contract Equipment Manufacturing		2.2.2	B3ii		AP	In-house											  	2.2.2 B3ii	ItP (2)	B3ii 2.2.2 E4iii		2.2.2 B4ii	Product	2.2.2 B4ii	Main	2.2.2 B4ii	AP	Businesses	First									2.2.2 B4ii		B4ii 1.2.2 DivA	(B4ii) 1.2.2 DivA	Product	(B4ii) 1.2.2 DIvA	(B4ii) 1.2.2 DivA	AP	Businesses
3525	Rocket and Missile Engines for Military (OEM) - BG	These companies produce rocket and missile engines on contract basis with OEMs for Government with Military end uses.	2B3	Contract Equipment Manufacturing		2.2.2	B3ii		AP	In-house											  	2.2.2 B3ii	ItP (2)	B3ii 2.2.2 E4iii		2.2.2 B4ii	Product	2.2.2 B4ii	Main	2.2.2 B4ii	AP	Businesses	First									2.2.2 B4ii		B4ii 2.2.2 E4iii	1.3.1 DivA	Product	1.3.1 DivA	4.2.2 F	AP	Governments
3522	Rocket and Missile Engines for Diversified Uses	These companies produce rocket and missile engines on contract basis for OEM companies with diversified end uses.	2B3	Contract Equipment Manufacturing		2.2.2	B3ii		AP	In-house											  	2.2.2 B3ii	ItP (2)	B3ii 2.2.2 E4iii		2.2.2 B4ii	Product	2.2.2 B4ii	Main	2.2.2 B4ii	AP	Businesses	First									2.2.2 B4ii		B4ii DivS DivA	DivS	Product	DivS	DivA	Div	Businesses and Governments
3523	Rocket Engines for Government Spaceflight (OEM) - BG	These companies produce rocket engines on contract basis with OEMs with government spaceflight end uses.	2B3	Contract Equipment Manufacturing		2.2.2	B3ii		AP	In-house											  	2.2.2 B3ii	ItP (2)	B3ii 2.2.2 E4iii		2.2.2 B4ii	Product	2.2.2 B4ii	Main	2.2.2 B4ii	AP	Businesses	First									2.2.2 B4ii		B4ii 1.2.2 DivA	2.1.1 DivA (C3iii)	Product	2.1.1 DivA (C3iii)	4.2.2 F	AP	Governments
3520	LED Lighting for Schools - PL	These companies manufacture LED lighting for schools.	2A1	Equipment manufacturers		2.2.2	B3i		RP	In-house					B3i	2.2.2	E4iii	A4ii	1.3.2	F	A4ii 1.3.2 F	2.1.2 F (C3iii)	Product					2.1.2 F (C3iii)	Main	2.1.2 F (C3iii)	AP	Businesses	First									2.1.2 F (C3iii)					2.1.2 F (C3iii)	1.3.2 F	RP	Consumers
